Date,Close/Last,Volume,Open,High,Low,Day
45386,871.576,1419,889.65,894.05,869.83,222
45385,883.126,1048,888.1,888.27,879.35,223
45384,888.536,1822,890.45,890.45,882.96,224
45383,902,838,914,914,897,225
45379,904.032,2277,910.1,910.1,900,226
45378,899.414,799,892.11,904,892.11,227
45377,885.01,2311,892.78,899.25,885.01,228
45376,892.105,597,888.92,895.86,887.85,229
45373,895.86,1679,906.1,906.1,892.016,230
45372,913.224,1167,936.52,936.52,909.51,231
45371,932,5319,912.68,932,912.68,232
45370,905,978,928.084,935,898.8,233
45369,935,3457,940.8,940.8,930,234
45366,944.5,982,943.13,950,933.2,235
45365,952,658,958.694,958.694,945.43,236
45364,950.823,1874,943.47,956.0358,943.47,237
45363,938.61,1952,921.77,939.9707,920,238
45362,928.4,1893,928,932.93,920.59,239
45359,919.674,932,928.8,931.992,915.86,240
45358,919.95,1732,914.12,923.17,914.12,241
45357,908,748,909.47,918.126,905.25,242
45356,896.16,901,905.55,907,895.25,243
45355,916,1366,917.65,917.65,910,244
45352,924.66,560,919.9,924.66,912.49,245
45351,915,1714,915,919.4,908,246
45350,919.4,894,912.15,924,912.15,247
45349,923.735,693,919.55,926,916.44,248
45348,913.25,802,917.23,920.45,910.3099,249
45345,918.57,2004,918.311,921,914.976,250
45344,913.89,852,899.29,915,899.29,251
45343,892.425,1553,891.2499,895,885.3111,252
45342,888.5,1415,882.29,889.04,879.82,253
45338,879,1066,886.15,886.15,875.95,254
45337,881.19,1365,881.7,885.2,874.89,255
45336,866,1631,857.63,866,853.45,256
45335,855.24,1802,866.31,866.31,848.6,257
45334,880.95,2297,874.05,890,874.05,258
45331,873.93,1094,874.98,877.52,865.7803,259
45330,864.25,1252,857.55,867.88,857.55,260
45329,844.65,1132,842.4,850.9,842.4,261
45328,840,5455,837.2,840,829.7,262
45327,839.29,2130,833.35,844.13,832,263
45324,842.934,1243,843,844.89,833,264
45323,844.2,1766,839.97,844.5,830,265
45322,833,961,837.5,850.1114,830.5,266
45321,848.5,1839,850,851.66,843.5855,267
45320,844.875,3090,840,852.5305,833.7898,268
45317,838.9,4540,832.7,846.64,832.7,269
45316,784.97,6087,743.856,786.26,735,270
45315,747.47,4826,743,756.33,743,271
45314,731.21,10929,723.25,731.21,723.25,272
45313,724,2573,724.65,724.65,720.93,273
45310,725,3361,720.76,726.88,710.5,274
45309,725,3264,715.52,728.4899,715.52,275
45308,707.21,6683,700,708.35,695.45,276
45307,720.5,4121,725,731.25,715,277
45303,737,1403,735,741.94,729.99,278
45302,740,1201,748.07,748.07,735,279
45301,751.36,935,752.11,752.77,745,280
45300,748,2459,750.57,750.57,737,281
45299,760.7999,2029,741,765.536,741,282
45296,753,2721,755.24,763.11,750.77,283
45295,763.0635,1499,753.67,766.032,753.67,284
45294,762.1595,1235,760.1,767.17,757.69,285
45293,791.43,2247,797.1,797.1,788.55,286
45289,813.805,684,805,819.7,805,287
45288,812.2,1164,804,817,804,288
45287,820,778,805.08,826.3,805.08,289
45286,819.196,689,817.434,820,815,290
45282,813.085,1109,813.058,822.24,810.17,291
45281,817.875,2512,821.7,824.93,811.05,292
45280,810.526,2020,804.207,823.544,795.6,293
45279,820.03,1687,804.22,822,804.22,294
45278,810.45,2815,813.96,813.96,805,295
45275,816,1084,821.5,823.99,810.87,296
45274,821.54,1286,815.654,825,812.73,297
45273,806.58,4603,789.0101,809.85,789.0101,298
45272,792.5125,1021,790.938,801.45,790,299
45271,797.07,3275,797.3,800,791.61,300
45268,797,6242,790.85,803.01,781,301
45267,772.36,1375,773.25,778,769.952,302
45266,770.43,6629,773.29,780,768,303
45265,770.6334,5696,757.03,773.22,757.03,304
45264,760.33,1789,758,760.78,750,305
45261,763.45,1465,750,765.216,730.2001,306
45260,768.4,2145,764.88,768.4,741.15,307
45259,760,1232,737.2,760,737.2,308
45258,750.98,2046,749.72,753.62,738.3,309
45257,766.298,1494,765.97,770.494,762.1,310
45254,772,2285,773.75,776.242,768.88,311
45252,775,5203,775.28,777.39,769.75,312
45251,770,2606,773.32,773.7,768.88,313
45250,789.57,1618,779.76,790,779.75,314
45247,779.75,832,753.4,790,753.4,315
45246,764.39,4093,764.29,770.87,761.15,316
45245,779.77,2060,778.01,783,775.05,317
45244,772,3668,752.6,773,752.6,318
45243,740,3603,732.774,740,730,319
45240,738.25,2130,735.49,741.57,726.2,320
45239,761,521,765.13,769,757.75,321
45238,754,1011,754.49,758.71,748.7,322
45237,744.54,2023,743.76,747.11,722.15,323
45236,746.09,1958,752.33,752.33,745.4299,324
45233,752.01,1920,761.95,762.97,750.25,325
45232,746.368,3390,739.14,752.85,739.14,326
45231,715.962,1750,713.246,717.3,706,327
